RUTA,PASSENGERS_mean,PASSENGERS_std,PASSENGERS_count,Accessories_mean,Accessories_std,Accessories_min,Accessories_max,Alcohol_mean,Alcohol_std,Alcohol_min,Alcohol_max,Cold Drink_mean,Cold Drink_std,Cold Drink_min,Cold Drink_max,Confectionery_mean,Confectionery_std,Confectionery_min,Confectionery_max,Fresh Food_mean,Fresh Food_std,Fresh Food_min,Fresh Food_max,Gents Fragrance_mean,Gents Fragrance_std,Gents Fragrance_min,Gents Fragrance_max,Hot Drink_mean,Hot Drink_std,Hot Drink_min,Hot Drink_max,Hot Food_mean,Hot Food_std,Hot Food_min,Hot Food_max,Ladies Fragrance_mean,Ladies Fragrance_std,Ladies Fragrance_min,Ladies Fragrance_max,Logo_mean,Logo_std,Logo_min,Logo_max,Savoury Snacks_mean,Savoury Snacks_std,Savoury Snacks_min,Savoury Snacks_max,Skincare & Make-up_mean,Skincare & Make-up_std,Skincare & Make-up_min,Skincare & Make-up_max,Sweet Snacks_mean,Sweet Snacks_std,Sweet Snacks_min,Sweet Snacks_max,Tobacco_mean,Tobacco_std,Tobacco_min,Tobacco_max,Tobacco._mean,Tobacco._std,Tobacco._min,Tobacco._max
ABC-CND,154.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ABC-MAD,10.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ACE-BIO,148.18421052631578,23.927655901225545,38,0.0,0.0,0.0,0.0,2.5789473684210527,1.9677340370076168,0.0,9.0,3.8421052631578947,2.4220419773347346,0.0,9.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.16222142113076254,0.0,1.0,0.0,0.0,0.0,0.0,2.026315789473684,1.4793505168268426,0.0,7.0,0.8157894736842105,1.15910643957515,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6052631578947367,2.2605843980635045,0.0,8.0,0.0,0.0,0.0,0.0,1.4736842105263157,1.5199011722008335,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE-MAD,141.35294117647058,30.442078486898623,34,0.0,0.0,0.0,0.0,1.6176470588235294,1.651715469707139,0.0,6.0,4.382352941176471,2.4372700312011157,0.0,10.0,0.0,0.0,0.0,0.0,1.0588235294117647,1.90599018202483,0.0,9.0,0.0,0.0,0.0,0.0,1.8823529411764706,1.6286210170301438,0.0,6.0,0.9705882352941176,1.6964364453732803,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.411764705882353,2.6413684132423016,0.0,9.0,0.0,0.0,0.0,0.0,1.7647058823529411,1.793233469046851,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGP-AGP,-3.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
AGP-FUE,179.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
AGP-MAD,132.31875,32.08067307699556,480,0.0,0.0,0.0,0.0,0.6291666666666667,1.2361902437406451,0.0,12.0,1.2979166666666666,1.5698077197433775,0.0,8.0,0.0,0.0,0.0,0.0,0.16041666666666668,0.6175037576765068,0.0,6.0,0.0,0.0,0.0,0.0,0.5458333333333333,0.9397193054307782,0.0,6.0,0.15,0.4458109357077949,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8270833333333333,1.6465614938281379,0.0,13.0,0.0,0.0,0.0,0.0,0.32916666666666666,0.7078322145681948,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALC-MAD,112.22033898305085,43.80219281273195,236,0.0,0.0,0.0,0.0,0.461864406779661,1.146051091767072,0.0,11.0,0.7457627118644068,1.5028282028510542,0.0,13.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.7182139164031216,0.0,8.0,0.0,0.0,0.0,0.0,0.24152542372881355,0.6298701346983568,0.0,5.0,0.09322033898305085,0.3569918798908033,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983050847457627,0.8813899130734661,0.0,5.0,0.0,0.0,0.0,0.0,0.15677966101694915,0.5185870843070596,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALC-PDV,120.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ALC-PMI,136.0801687763713,27.324592883382184,237,0.0,0.0,0.0,0.0,0.23628691983122363,0.6973555755022802,0.0,5.0,0.42616033755274263,0.9999106017395115,0.0,8.0,0.0,0.0,0.0,0.0,0.04219409282700422,0.27291628964097786,0.0,3.0,0.0,0.0,0.0,0.0,0.21518987341772153,0.5823146262672907,0.0,4.0,0.016877637130801686,0.15854862713777929,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14345991561181434,0.5253020231709092,0.0,5.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.4792407998708877,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
